request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335741&c-r-ot=S",c-t-id,335741,"DURANT, TARA A",c-t-eid,58873127,"DURANT, TARA A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7849,"SENATE DISTRICT 027",c-t-ico,O,Open,c-r-ot,S,"State Senate",647,3388545.34
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335775&c-r-ot=H",c-t-id,335775,"ADAMS, KIMBERLY POPE",c-t-eid,58873161,"ADAMS, KIMBERLY POPE",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7804,"HOUSE DISTRICT 082",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",1288,2987082.74
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336219&c-r-ot=H",c-t-id,336219,"GREENHALGH, KAREN S",c-t-eid,53866928,"GREENHALGH, KAREN S",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7819,"HOUSE DISTRICT 097",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",570,2910328.03
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335880&c-r-ot=S",c-t-id,335880,"GOPAL, VIN",c-t-eid,58887223,"GOPAL, VIN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2023,2023,c-r-t,1,Standard,c-r-osid,5385,"SENATE DISTRICT 011",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",1911,2836229.80
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335795&c-r-ot=S",c-t-id,335795,"LUCAS, L LOUISE",c-t-eid,5704336,"LUCAS, L LOUISE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7840,"SENATE DISTRICT 018",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",1001,2834265.47
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336204&c-r-ot=H",c-t-id,336204,"TAYLOR, KIM A",c-t-eid,59095366,"TAYLOR, KIM A",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7804,"HOUSE DISTRICT 082",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",687,2820670.66
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335737&c-r-ot=S",c-t-id,335737,"BREWER, EMILY MARIE",c-t-eid,43620489,"BREWER, EMILY MARIE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7839,"SENATE DISTRICT 017",c-t-ico,O,Open,c-r-ot,S,"State Senate",612,2785711.08
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335777&c-r-ot=H",c-t-id,335777,"CLARK, NADARIUS E",c-t-eid,58873163,"CLARK, NADARIUS E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7806,"HOUSE DISTRICT 084",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",715,2758492.32
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336212&c-r-ot=H",c-t-id,336212,"SCOTT JR, DON L",c-t-eid,59095374,"SCOTT JR, DON L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7810,"HOUSE DISTRICT 088",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",837,2752973.64
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336249&c-r-ot=S",c-t-id,336249,"ROUSE, AARON A",c-t-eid,59095411,"ROUSE, AARON A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7844,"SENATE DISTRICT 022",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",1491,2736069.44
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336259&c-r-ot=S",c-t-id,336259,"ROEM, DANICA",c-t-eid,59095421,"ROEM, DANICA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7852,"SENATE DISTRICT 030",c-t-ico,O,Open,c-r-ot,S,"State Senate",2273,2671708.78
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335716&c-r-ot=H",c-t-id,335716,"PETERS III, LEE",c-t-eid,58873103,"PETERS III, LEE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7787,"HOUSE DISTRICT 065",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",223,2522108.09
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335791&c-r-ot=S",c-t-id,335791,"AIRD, LASHRECSE D",c-t-eid,29320721,"AIRD, LASHRECSE D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7835,"SENATE DISTRICT 013",c-t-ico,O,Open,c-r-ot,S,"State Senate",1293,2471576.65
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335705&c-r-ot=H",c-t-id,335705,"STIRRUP, JOHN T",c-t-eid,58873095,"STIRRUP, JOHN T",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7743,"HOUSE DISTRICT 021",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",347,2422289.53
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336136&c-r-ot=H",c-t-id,336136,"NEMBHARD, TRAVIS",c-t-eid,59095298,"NEMBHARD, TRAVIS",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7744,"HOUSE DISTRICT 022",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",1132,2379070.61
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336263&c-r-ot=S",c-t-id,336263,"SUROVELL, SCOTT",c-t-eid,59095425,"SUROVELL, SCOTT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7856,"SENATE DISTRICT 034",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",2122,2228554.25
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336244&c-r-ot=S",c-t-id,336244,"JENKINS, CLINTON",c-t-eid,59095406,"JENKINS, CLINTON",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7839,"SENATE DISTRICT 017",c-t-ico,O,Open,c-r-ot,S,"State Senate",234,2144536.82
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336250&c-r-ot=S",c-t-id,336250,"LOCKE, MAMIE",c-t-eid,59095412,"LOCKE, MAMIE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7845,"SENATE DISTRICT 023",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",803,2039706.20
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335746&c-r-ot=S",c-t-id,335746,"WOOLF III, BILL C",c-t-eid,58873132,"WOOLF III, BILL C",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7852,"SENATE DISTRICT 030",c-t-ico,O,Open,c-r-ot,S,"State Senate",310,2011903.18
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335765&c-r-ot=H",c-t-id,335765,"GIBSON, SUSANNA S",c-t-eid,58873151,"GIBSON, SUSANNA S",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7779,"HOUSE DISTRICT 057",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",1651,1862322.93
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336177&c-r-ot=H",c-t-id,336177,"WILLETT, RODNEY TURNER",c-t-eid,6151829,"WILLETT, RODNEY TURNER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7780,"HOUSE DISTRICT 058",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",1179,1853335.41
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336135&c-r-ot=H",c-t-id,336135,"LOVEJOY, IAN",c-t-eid,59095297,"LOVEJOY, IAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7744,"HOUSE DISTRICT 022",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",282,1809898.65
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336147&c-r-ot=H",c-t-id,336147,"BANSE, ROB",c-t-eid,59095309,"BANSE, ROB",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7752,"HOUSE DISTRICT 030",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",968,1804624.39
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335808&c-r-ot=S",c-t-id,335808,"FOY, JENNIFER D CARROLL",c-t-eid,58873183,"FOY, JENNIFER D CARROLL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7855,"SENATE DISTRICT 033",c-t-ico,O,Open,c-r-ot,S,"State Senate",1207,1789110.33
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336166&c-r-ot=H",c-t-id,336166,"KILGORE, TERRY G",c-t-eid,59095328,"KILGORE, TERRY G",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7767,"HOUSE DISTRICT 045",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",549,1756653.96
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336220&c-r-ot=H",c-t-id,336220,"KNIGHT, BARRY D",c-t-eid,59095382,"KNIGHT, BARRY D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7820,"HOUSE DISTRICT 098",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",863,1742054.08
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335905&c-r-ot=S",c-t-id,335905,"SCUTARI, NICHOLAS P",c-t-eid,6452479,"SCUTARI, NICHOLAS P",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2023,2023,c-r-t,1,Standard,c-r-osid,5396,"SENATE DISTRICT 022",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",840,1663230.64
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336150&c-r-ot=H",c-t-id,336150,"GILBERT, TODD",c-t-eid,59095312,"GILBERT, TODD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7755,"HOUSE DISTRICT 033",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",361,1622907.82
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336021&c-r-ot=H",c-t-id,336021,"COUGHLIN, CRAIG J",c-t-eid,6498711,"COUGHLIN, CRAIG J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2023,2023,c-r-t,1,Standard,c-r-osid,5353,"ASSEMBLY DISTRICT 019",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",915,1589901.52
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336256&c-r-ot=S",c-t-id,336256,"MCDOUGLE, RYAN T",c-t-eid,59095418,"MCDOUGLE, RYAN T",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7848,"SENATE DISTRICT 026",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",578,1573258.87
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336213&c-r-ot=H",c-t-id,336213,"JENKINS, KAREN",c-t-eid,59095375,"JENKINS, KAREN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7811,"HOUSE DISTRICT 089",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",323,1544384.91
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335790&c-r-ot=S",c-t-id,335790,"DEEDS, R CREIGH",c-t-eid,5704026,"DEEDS, R CREIGH",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7833,"SENATE DISTRICT 011",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",1588,1526216.85
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=334420&c-r-ot=S",c-t-id,334420,"SINYKIN, JODI HABUSH",c-t-eid,54806199,"SINYKIN, JODI HABUSH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2023,2023,c-r-t,3,Special,c-r-osid,8756,"SENATE DISTRICT 008",c-t-ico,O,Open,c-r-ot,S,"State Senate",10556,1509696.08
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336248&c-r-ot=S",c-t-id,336248,"DESTEPH JR, WILLIAM R (BILL)",c-t-eid,5863863,"DESTEPH JR, WILLIAM R (BILL)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7842,"SENATE DISTRICT 020",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",779,1436088.87
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335796&c-r-ot=S",c-t-id,335796,"SPRUILL SR, LIONELL",c-t-eid,5886726,"SPRUILL SR, LIONELL",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7840,"SENATE DISTRICT 018",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",640,1432131.87
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335691&c-r-ot=H",c-t-id,335691,"BOYD, HEATHER",c-t-eid,58803024,"BOYD, HEATHER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2023,2023,c-r-t,3,Special,c-r-osid,6600,"HOUSE DISTRICT 163",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",733,1412267.85
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335721&c-r-ot=H",c-t-id,335721,"DILLENDER, MICHAEL J",c-t-eid,58873108,"DILLENDER, MICHAEL J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7806,"HOUSE DISTRICT 084",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",263,1401663.23
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336745&c-r-ot=S",c-t-id,336745,"ADAMS, KEVIN",c-t-eid,58284337,"ADAMS, KEVIN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7844,"SENATE DISTRICT 022",c-t-ico,C,Challenger,c-r-ot,S,"State Senate",449,1382671.58
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336175&c-r-ot=H",c-t-id,336175,"OWEN, DAVID",c-t-eid,59095337,"OWEN, DAVID",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7779,"HOUSE DISTRICT 057",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",489,1351485.52
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335802&c-r-ot=S",c-t-id,335802,"MCPIKE, JEREMY S",c-t-eid,16712565,"MCPIKE, JEREMY S",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7851,"SENATE DISTRICT 029",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",1124,1338890.32
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335812&c-r-ot=S",c-t-id,335812,"BARKER, GEORGE LINCOLN",c-t-eid,6484200,"BARKER, GEORGE LINCOLN",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7858,"SENATE DISTRICT 036",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",846,1282685.44
