,request,Candidate:token,Candidate:id,Candidate,cand_name,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,race_outcome,Specific_Party:token,Specific_Party:id,party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,state,Election_Year:token,Election_Year:id,year,Election_Type:token,Election_Type:id,special_election,Office_Sought:token,Office_Sought:id,district,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,election_type,#_of_Records,Total_$
35,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336220&c-r-ot=H",c-t-id,336220,"KNIGHT, BARRY D",Barry D Knight,c-t-eid,59095382,"KNIGHT, BARRY D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7820,98,c-t-ico,I,Incumbent,c-r-ot,H,State House,863,1742054.08
36,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335905&c-r-ot=S",c-t-id,335905,"SCUTARI, NICHOLAS P",Nicholas P Scutari,c-t-eid,6452479,"SCUTARI, NICHOLAS P",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2023,2023,c-r-t,1,FALSE,c-r-osid,5396,22,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,840,1663230.64
37,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336150&c-r-ot=H",c-t-id,336150,"GILBERT, TODD",Todd Gilbert,c-t-eid,59095312,"GILBERT, TODD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7755,33,c-t-ico,I,Incumbent,c-r-ot,H,State House,361,1622907.82
38,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336021&c-r-ot=H",c-t-id,336021,"COUGHLIN, CRAIG J",Craig J Coughlin,c-t-eid,6498711,"COUGHLIN, CRAIG J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2023,2023,c-r-t,1,FALSE,c-r-osid,5353,19,c-t-ico,I,Incumbent,c-r-ot,H,State House,915,1589901.52
39,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336256&c-r-ot=S",c-t-id,336256,"MCDOUGLE, RYAN T",Ryan T Mcdougle,c-t-eid,59095418,"MCDOUGLE, RYAN T",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7848,26,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,578,1573258.87
40,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336213&c-r-ot=H",c-t-id,336213,"JENKINS, KAREN",Karen Jenkins,c-t-eid,59095375,"JENKINS, KAREN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7811,89,c-t-ico,O,Open,c-r-ot,H,State House,323,1544384.91
41,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335790&c-r-ot=S",c-t-id,335790,"DEEDS, R CREIGH",R Creigh Deeds,c-t-eid,5704026,"DEEDS, R CREIGH",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7833,11,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,1588,1526216.85
42,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=334420&c-r-ot=S",c-t-id,334420,"SINYKIN, JODI HABUSH",Jodi Habush Sinykin,c-t-eid,54806199,"SINYKIN, JODI HABUSH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2023,2023,c-r-t,3,TRUE,c-r-osid,8756,8,c-t-ico,O,Open,c-r-ot,S,State Senate,10556,1509696.08
43,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336248&c-r-ot=S",c-t-id,336248,"DESTEPH JR, WILLIAM R (BILL)",William R (Bill) Desteph Jr,c-t-eid,5863863,"DESTEPH JR, WILLIAM R (BILL)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7842,20,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,779,1436088.87
44,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335691&c-r-ot=H",c-t-id,335691,"BOYD, HEATHER",Heather Boyd,c-t-eid,58803024,"BOYD, HEATHER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2023,2023,c-r-t,3,TRUE,c-r-osid,6600,163,c-t-ico,O,Open,c-r-ot,H,State House,733,1412267.85
45,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335721&c-r-ot=H",c-t-id,335721,"DILLENDER, MICHAEL J",Michael J Dillender,c-t-eid,58873108,"DILLENDER, MICHAEL J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7806,84,c-t-ico,O,Open,c-r-ot,H,State House,263,1401663.23
46,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336745&c-r-ot=S",c-t-id,336745,"ADAMS, KEVIN",Kevin Adams,c-t-eid,58284337,"ADAMS, KEVIN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7844,22,c-t-ico,C,Challenger,c-r-ot,S,State Senate,449,1382671.58
47,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336175&c-r-ot=H",c-t-id,336175,"OWEN, DAVID",David Owen,c-t-eid,59095337,"OWEN, DAVID",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7779,57,c-t-ico,O,Open,c-r-ot,H,State House,489,1351485.52
48,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335802&c-r-ot=S",c-t-id,335802,"MCPIKE, JEREMY S",Jeremy S Mcpike,c-t-eid,16712565,"MCPIKE, JEREMY S",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7851,29,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,1124,1338890.32
49,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335809&c-r-ot=S",c-t-id,335809,"MARSDEN, DAVID W",David W Marsden,c-t-eid,48067406,"MARSDEN, DAVID W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7857,35,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,810,1208660.21
50,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336733&c-r-ot=H",c-t-id,336733,"ENNIS, BAXTER",Baxter Ennis,c-t-eid,59174637,"ENNIS, BAXTER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7811,89,c-t-ico,O,Open,c-r-ot,H,State House,329,1176182.73
51,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336176&c-r-ot=H",c-t-id,336176,"SHAIA, RILEY",Riley Shaia,c-t-eid,59095338,"SHAIA, RILEY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7780,58,c-t-ico,C,Challenger,c-r-ot,H,State House,379,1169840.53
