State,Race,Year,District,Republican Candidate,Republican Wiki URL,Republican Vote %,Democrat Candidate,Democrat Wiki URL,Democrat Vote %,Winner,Republican Campaign Site,Democrat Campaign Site,Republican Campaign Facebook,Republican Campaign X,Republican Campaign Instagram,Republican Personal Website,Republican Personal Facebook,Republican Personal LinkedIn,Democrat Campaign Facebook,Democrat Campaign X,Democrat Campaign Instagram,Democrat Personal Website,Democrat Personal Facebook,Democrat Personal LinkedIn
North Carolina,US House of Representatives,2024,4,Eric Blankenburg,"",26.1,Valerie Foushee,https://en.wikipedia.org/wiki/Valerie_Foushee,71.9,Valerie Foushee,https://ericfornc.com/,http://valeriefoushee.com,https://www.facebook.com/eric4nc,https://x.com/eric4nc,https://www.instagram.com/realericbl/,"",https://www.facebook.com/profile.php?id=100082615171083,https://www.linkedin.com/in/ericbl/,"","","","","",""
North Carolina,US House of Representatives,2024,5,Virginia Foxx,https://en.wikipedia.org/wiki/Virginia_Foxx,59.5,Chuck Hubbard,"",40.5,Virginia Foxx,http://virginiafoxx.com,https://hubbardforcongress.com,"","","","","","",https://www.facebook.com/ChuckHubbardNC,https://x.com/ChuckHubbardNC,https://www.instagram.com/ChuckHubbardNC,"",https://www.facebook.com/chuck.hubbard.2025/,""
North Carolina,US House of Representatives,2024,6,Addison McDowell,https://en.wikipedia.org/wiki/Addison_McDowell,69.2,"","",,Addison McDowell,http://mcdowellfornc.com,"","","","","","","","","","","","",""
North Carolina,US House of Representatives,2024,7,David Rouzer,https://en.wikipedia.org/wiki/David_Rouzer,58.6,Marlando Pridgen,"",41.4,David Rouzer,http://davidrouzer.com,http://pridgenforcongress.com,"","","","","","",https://www.facebook.com/pridgenforthepeople,https://x.com/PridgenForNC7,https://www.instagram.com/pridgenforcongress/,"",https://www.facebook.com/marlando.pridgen,""
North Carolina,US House of Representatives,2024,8,Mark Harris,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),59.6,Justin Dues,"",40.4,Mark Harris,http://markharrisforcongress.org,https://www.justicewithdues.org/,"","","","","","","","","","","",""
North Carolina,US House of Representatives,2024,9,Richard Hudson,https://en.wikipedia.org/wiki/Richard_Hudson_(American_politician),56.3,Nigel William Bristow,"",37.8,Richard Hudson,http://richardhudson.org,https://ivoterguide.com/candidate/79634/race/1741/election/1206,"","","","","","",https://www.facebook.com/NigelBristowforSheriff/,https://x.com/Nigelforsheriff,"","","",""
North Carolina,US House of Representatives,2024,10,Pat Harrigan,https://en.wikipedia.org/wiki/Pat_Harrigan,57.5,Ralph Scott Jr.,"",38.2,Pat Harrigan,http://harriganforcongress.com,"","","","","","","","",https://x.com/RalphScott80421,"","","",""
North Carolina,US House of Representatives,2024,11,Chuck Edwards,https://en.wikipedia.org/wiki/Chuck_Edwards,56.8,Caleb Rudow,https://en.wikipedia.org/wiki/Caleb_Rudow,43.2,Chuck Edwards,http://chuckedwardsforcongress.com,https://www.rudowfornchouse.com/,"","","","","","","","","","","",""
North Carolina,US House of Representatives,2024,12,Addul Ali,"",26.0,Alma Adams,https://en.wikipedia.org/wiki/Alma_Adams,74.0,Alma Adams,https://www.aliforcongress.com/,http://almaadamsforcongress.com,"","","","","","","","","","","",""
North Carolina,US House of Representatives,2024,13,Brad Knott,https://en.wikipedia.org/wiki/Brad_Knott,58.6,Frank Pierce,"",41.4,Brad Knott,http://bradknottforcongress.com,https://www.frankpierce4congress.com/,"","","","","","","","","","","",""
North Carolina,US House of Representatives,2024,14,Tim Moore,https://en.wikipedia.org/wiki/Tim_Moore_(North_Carolina_politician),58.1,Pam Genant,"",41.9,Tim Moore,http://timmoorenc.com,https://www.pamgenant.com,"","","","","","",https://www.facebook.com/ElectPamGenantNC,https://x.com/PamGenant,https://www.instagram.com/pamgenant/,"",https://www.facebook.com/PamelaGenant,https://www.linkedin.com/in/pamgenant/
New York,US House of Representatives,2024,1,Nick LaLota,"",49.0,John Avlon,"",44.3,Nick LaLota,https://www.nicklalota.com/,https://www.johnavlon.com/,"","","","","","",https://www.facebook.com/TeamAvlonNY,https://x.com/TeamAvlonNY,https://www.instagram.com/teamavlonny/,"",https://www.facebook.com/john.avlon.3,https://www.linkedin.com/in/john-avlon/
New York,US House of Representatives,2024,2,Andrew Garbarino,"",53.2,Rob Lubin,"",38.3,Andrew Garbarino,https://garbarinoforny.com,https://roblubinforcongress.com/,https://www.facebook.com/GarbarinoforNY,https://x.com/GarbarinoforNY,https://www.instagram.com/garbarinoforcongress,"","","",https://www.facebook.com/RobLubinforNY,https://x.com/RobLubinforNY,https://www.instagram.com/roblubinforny,"",https://www.facebook.com/robert.d.lubin,https://www.linkedin.com/in/roblubin/
New York,US House of Representatives,2024,3,Mike LiPetri,"",44.5,Tom Suozzi,"",51.2,Tom Suozzi,https://www.mikelipetri.com/,https://suozziforcongress.com,"","","","","","",https://www.facebook.com/tom.suozzi,https://x.com/Tom_Suozzi,https://www.instagram.com/tom_suozzi/,"","",https://www.linkedin.com/in/tomsuozzi/
New York,US House of Representatives,2024,4,Anthony D'Esposito,"",45.2,Laura Gillen,"",50.8,Laura Gillen,https://despositoforcongress.com/,https://lauragillen.com,https://www.facebook.com/DESPOSITO4CONGRESS/,https://x.com/ANTHONYDESPO,https://www.instagram.com/despositoforcongress/,"",https://www.facebook.com/anthony.desposito.90,https://www.linkedin.com/in/anthony-d-esposito-b734b26b,https://www.facebook.com/LauraAGillen,https://x.com/LauraAGillen,https://www.instagram.com/laura.a.gillen/,"",https://www.facebook.com/laura.gillenfinegan,https://www.linkedin.com/in/laura-gillen-49275411
New York,US House of Representatives,2024,5,Paul King,"",24.6,Gregory Meeks,https://en.wikipedia.org/wiki/Gregory_Meeks,72.9,Gregory Meeks,"",http://congressmangregorymeeks.com,"","","","","","","","","","","",""
New York,US House of Representatives,2024,6,Thomas Zmich,"",35.2,Grace Meng,https://en.wikipedia.org/wiki/Grace_Meng,60.7,Grace Meng,"",http://gracefornewyork.com,"","","","",https://www.facebook.com/tom.zmich.7,"","","","","","",""
New York,US House of Representatives,2024,7,William Kregler,"",19.5,Nydia Velázquez,"",65.6,Nydia Velázquez,https://kreglerforcongress.com,https://www.reelectnydiavelazquez.com,"","","","","","",https://www.facebook.com/ReElectNydiaVelazquezToCongress,https://x.com/ReElectNydia,"","","",""
New York,US House of Representatives,2024,8,John Delaney,"",21.7,Hakeem Jeffries,https://en.wikipedia.org/wiki/Hakeem_Jeffries,75.4,Hakeem Jeffries,https://www.johndelaney.com/,http://hakeemjeffries.com,"","","","","","","","","","","",""
New York,US House of Representatives,2024,9,Menachem Raitport,"",22.0,Yvette Clarke,https://en.wikipedia.org/wiki/Yvette_Clarke,74.3,Yvette Clarke,"",http://voteyvette.com,"","","","","","","","","","","",""
New York,US House of Representatives,2024,10,Alex Dodenhoff,"",15.0,Dan Goldman,https://en.wikipedia.org/wiki/Dan_Goldman,82.3,Dan Goldman,https://www.alexdodenhoff.com/,http://dangoldmanforny.com,https://www.facebook.com/profile.php?id=61563845159589,https://x.com/alexdodenhoff,"","",https://www.facebook.com/alexbdode,https://www.linkedin.com/in/alex-dodenhoff/,"","","","","",""
New York,US House of Representatives,2024,11,Nicole Malliotakis,"",58.7,Andrea Morse,"",35.9,Nicole Malliotakis,https://nicolemalliotakis.com/,https://www.andreamorseforcongress.com/,https://www.facebook.com/NMalliotakis,https://x.com/NMalliotakis,https://www.instagram.com/nmalliotakis,"","","","","","","","",""
New York,US House of Representatives,2024,12,Michael Zumbluskas,"",19.5,Jerry Nadler,"",75.2,Jerry Nadler,https://www.electmikez.us/,https://www.jerrynadler.com,https://www.facebook.com/profile.php?id=100057733552390,https://x.com/MikeZumbluskas,"","",https://www.facebook.com/michael.zumbluskas,https://www.linkedin.com/in/michael-zumbluskas-4159a98,"",https://x.com/jerrynadler,"","","",https://www.linkedin.com/in/jerry-nadler-943a7014/
New York,US House of Representatives,2024,13,Ruben Vargas,"",14.7,Adriano Espaillat,https://en.wikipedia.org/wiki/Adriano_Espaillat,83.5,Adriano Espaillat,https://lykelect.com/post/ruben-vargas/d630403c-e352-47ad-b56f-3d58e2c60398/,http://adrianoespaillat.com,"",https://x.com/RDV4Congress,"","",https://www.facebook.com/rubendvargasNY,"","","","","","",""
New York,US House of Representatives,2024,14,Tina Forte,"",28.2,Alexandria Ocasio-Cortez,"",61.8,Alexandria Ocasio-Cortez,https://tinaforteforcongress.com,https://www.josevelazquez2020.com/,https://www.facebook.com/TinaForteUSA,https://x.com/TinaForteUSA,https://www.instagram.com/TinaForteUSA,"",https://www.facebook.com/Tina4o,"",https://www.facebook.com/JVelazquezNYC/,https://x.com/JVelazquezNYC,https://www.instagram.com/jvelazqueznyc/,"","",https://www.linkedin.com/in/jose-velazquez-0610a074/
New York,US House of Representatives,2024,15,Gonzalo Duran,"",19.0,Ritchie Torres,https://en.wikipedia.org/wiki/Ritchie_Torres,76.5,Ritchie Torres,https://www.gonzaloduran.nyc/,http://torres.nyc,"","","","","","","","","","","",""
New York,US House of Representatives,2024,16,Miriam Flisser,"",28.4,George Latimer,https://en.wikipedia.org/wiki/George_Latimer_(New_York_politician),71.6,George Latimer,https://miriam4congress.com,http://latimerforny.com,https://www.facebook.com/profile.php?id=100085471750536,https://x.com/LevittFlisser,https://www.instagram.com/levittflisser4congress/,"",https://www.facebook.com/miriamlevitt.flisser,"","","","","","",""
New York,US House of Representatives,2024,17,Mike Lawler,"",47.7,Mondaire Jones,https://en.wikipedia.org/wiki/Mondaire_Jones,45.9,Mike Lawler,https://www.lawlerforcongress.com,https://mondaireforcongress.com/,https://www.facebook.com/lawler4ny,https://x.com/lawler4ny,https://www.instagram.com/lawler4ny/,"",https://www.facebook.com/michaelvlawler,https://www.linkedin.com/in/mike-lawler-735903103/,"","","","","",""
New York,US House of Representatives,2024,18,Alison Esposito,"",38.2,Pat Ryan,"",52.3,Pat Ryan,https://alisonesposito.com,https://www.patryanforcongress.com,https://www.facebook.com/EspositoforNY,https://x.com/EspositoforNY,https://www.instagram.com/EspositoforNY/,"",https://www.facebook.com/alison.esposito.58,https://www.linkedin.com/in/alison-esposito-b409598b/,https://www.facebook.com/PatRyanUC,https://x.com/PatRyanUC,https://www.instagram.com/patryanforcongress/,"",https://www.facebook.com/pkryan,https://www.linkedin.com/in/pkryan04
New York,US House of Representatives,2024,19,Marc Molinaro,"",43.5,Josh Riley,"",45.1,Josh Riley,https://www.marcforus.com/,https://joshrileyforcongress.com,https://www.facebook.com/MarcMolinaroNY/,https://x.com/MarcMolinaroNY,https://www.instagram.com/marcmolinarony/,"","",https://www.linkedin.com/in/marcus-molinaro-6790974/,https://www.facebook.com/JoshRileyNY,https://x.com/JoshRileyUE,https://www.instagram.com/joshrileyue/,"","",https://www.linkedin.com/in/joshua-riley-601bb387/
New York,US House of Representatives,2024,20,Kevin Waltz,"",33.5,Paul Tonko,"",55.2,Paul Tonko,https://www.waltzforny.com/,https://paultonko.com,https://www.facebook.com/KevinWaltzforNY/,https://x.com/waltzforny,https://www.instagram.com/waltzforny,"","","",https://www.facebook.com/paul.tonko,https://x.com/PaulTonko,https://www.instagram.com/paultonko,"","",""
New York,US House of Representatives,2024,21,Elise Stefanik,"",56.1,Paula Collins,"",34.8,Elise Stefanik,https://elisestefanik.com/,https://paulacollinsforcongress.com,https://www.facebook.com/pg/LiubaForCongress/about/?ref=page_internal,"","","","","",https://www.facebook.com/profile.php?id=61556502652722,https://x.com/collinsforNY21,https://www.instagram.com/collinsforcongress,"",https://www.facebook.com/paula.collins.7568,https://www.linkedin.com/in/paulacollinsnyc/
New York,US House of Representatives,2024,22,Brandon Williams,"",39.9,John Mannion,"",50.1,John Mannion,https://letsvotebrandon.com/,https://www.mannionforny.com,https://www.facebook.com/brandonforcongressny22/,https://x.com/Brandon4ny22,https://www.instagram.com/brandon4congressny22/,"","",https://www.linkedin.com/in/brandonmwilliams,https://www.facebook.com/JohnMannionforNY,https://x.com/MannionforNY,https://www.instagram.com/mannionforNY/,"",https://www.facebook.com/profile.php?id=100008916731213,https://www.linkedin.com/in/john-mannion-04750294/
New York,US House of Representatives,2024,23,Nick Langworthy,"",57.0,Thomas Carle,"",34.2,Nick Langworthy,https://nicklangworthy.com/,https://www.carle4congress.com/,https://www.facebook.com/ChairmanNickLangworthy,https://x.com/NickLangworthy,https://www.instagram.com/nicklangworthy/,"",https://www.facebook.com/nicholaslangworthy,https://www.linkedin.com/in/nicklangworthy/,"","","","","",""
New York,US House of Representatives,2024,24,Claudia Tenney,"",57.7,David Wagenhauser,"",34.3,Claudia Tenney,https://claudiaforcongress.com,https://www.daveforupstate.com/,https://www.facebook.com/ClaudiaForCongress,https://x.com/claudiatenney,https://www.instagram.com/claudiatenney/,"","",https://www.linkedin.com/in/claudia-t-793899160/,https://www.facebook.com/daveforupstate,https://x.com/daveforupstate,https://www.instagram.com/daveforupstate,"",https://www.facebook.com/profile.php?id=61552296687996,""
New York,US House of Representatives,2024,25,Gregg Sadwick,"",39.2,Joseph Morelle,"",55.6,Joseph Morelle,https://sadwickforcongress.com/,https://www.votemorelle.com,https://www.facebook.com/SadwickforCongress/,https://x.com/GreggSadwick,https://www.instagram.com/sadwickforcongress/,"",https://www.facebook.com/gregg.sadwick,https://www.linkedin.com/in/gregg-sadwick-9554557/,https://www.facebook.com/votemorelle,https://x.com/votemorelle,https://www.instagram.com/votemorelle,"",https://www.facebook.com/joe.morelle.94,https://www.linkedin.com/in/joe-morelle-8246099/
New York,US House of Representatives,2024,26,Anthony Marecki,"",29.6,Tim Kennedy,"",59.4,Tim Kennedy,https://votewiser.com/candidate/Anthony_Marecki,https://kennedyforuscongress.com,"","","","","",https://www.linkedin.com/in/anthony-marecki-204384149/,https://www.facebook.com/KennedyforCongress,https://x.com/kennedyforny26,https://www.instagram.com/kennedyforny26/,"","",https://www.linkedin.com/in/tim-kennedy-3b834448/
Arkansas,US House of Representatives,2024,1,Rick Crawford,https://en.wikipedia.org/wiki/Rick_Crawford_(politician),72.9,Rodney Govens,"",24.0,Rick Crawford,http://meetrickcrawford.com,https://rodneyforcongress.org,"","","","","","",https://www.facebook.com/rodneygovensforcongress,https://x.com/rodney4arkansas,https://www.instagram.com/rodneyforcongress/,"",https://www.facebook.com/rodney.govens,https://www.linkedin.com/in/rodney-govens-b7b91541/
Arkansas,US House of Representatives,2024,2,French Hill,https://en.wikipedia.org/wiki/French_Hill_(politician),58.9,Marcus Jones,"",41.1,French Hill,http://electfrench.com,https://marcusjonesforcongress.com,"","","","","","",https://www.facebook.com/marcusforar,https://x.com/MarcusforAR,https://www.instagram.com/marcusforar/,"","",https://www.linkedin.com/in/marcus-jones-a1451782
Arkansas,US House of Representatives,2024,3,Steve Womack,https://en.wikipedia.org/wiki/Steve_Womack,63.8,Caitlin Draper,"",31.8,Steve Womack,http://womackforcongress.com,https://www.caitlinforarkansas.com,"","","","","","",https://www.facebook.com/caitlinforcongress,https://x.com/caitlinforark,https://www.instagram.com/CaitlinforArkansas,"",https://www.facebook.com/caitlinrhaye,https://www.linkedin.com/in/caitlindraperlcsw/
Arkansas,US House of Representatives,2024,4,Bruce Westerman,https://en.wikipedia.org/wiki/Bruce_Westerman,72.9,Risie Howard,"",27.1,Bruce Westerman,https://brucewesterman.com,https://www.howardforcongress.com,"","","","","","","",https://x.com/RisieHoward2024,"","","",""
Florida,US House of Representatives,2024,1,Matt Gaetz,https://en.wikipedia.org/wiki/Matt_Gaetz,66.0,Gay Valimont,"",34.0,Matt Gaetz,https://www.mattgaetz.com/,"","","","","","","","","","","",https://www.facebook.com/GayGillespie.Valimont,""
Florida,US House of Representatives,2024,2,Neal Dunn,https://en.wikipedia.org/wiki/Neal_Dunn,61.6,Yen Bailey,"",38.4,Neal Dunn,http://nealdunn.com,https://www.yenbaileyforcongress.com,"","","","","","",https://www.facebook.com/YenBaileyforCongress/,https://x.com/YenForCongress,https://www.instagram.com/yenforcongress/,"",https://www.facebook.com/yen.cam.7,""
Florida,US House of Representatives,2024,3,Kat Cammack,https://en.wikipedia.org/wiki/Kat_Cammack,61.6,Tom Wells,"",38.4,Kat Cammack,http://katforcongress.com,https://tomwellsforcongress.com/,"","","","","","","","","","","",""
Florida,US House of Representatives,2024,4,Aaron Bean,https://en.wikipedia.org/wiki/Aaron_Bean,57.3,LaShonda Holloway,"",42.7,Aaron Bean,http://aaronbean.com,https://www.hollowayforcongress.com/,"","","","","","",https://www.facebook.com/LJHollowayforCongress/,https://x.com/Lj4Congress,https://www.instagram.com/Lj4Congress/,"",https://www.facebook.com/LJHolloway,https://www.linkedin.com/in/lashondaholloway/
Florida,US House of Representatives,2024,5,John Rutherford,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),63.1,Jay McGovern,"",36.9,John Rutherford,http://johnrutherfordforcongress.com,https://jaymcgovern.com,"","","","","","","",https://x.com/captmcgovern,https://www.instagram.com/captmcgovern/,"",https://www.facebook.com/jay.mcgovern.14,https://www.linkedin.com/in/jaymcgovern83/
Florida,US House of Representatives,2024,6,Michael Waltz,https://en.wikipedia.org/wiki/Michael_Waltz,66.5,James Stockton III,"",33.5,Michael Waltz,https://mikewaltz.com/,https://dos.elections.myflorida.com/candidates/CanDetail.asp?account=85402,https://www.facebook.com/MichaelWaltzForCongress,https://x.com/michaelgwaltz,https://www.instagram.com/michaelgwaltz/,"",https://www.facebook.com/michael.waltz.18,https://www.linkedin.com/in/michael-waltz-0557964/,"","","","","",""
Florida,US House of Representatives,2024,7,Cory Mills,https://en.wikipedia.org/wiki/Cory_Mills,56.5,Jennifer Adams,"",43.5,Cory Mills,http://millsforflorida.com,https://www.jenniferadamsforcongress.com/,"","","","","","","","","","","",""
Florida,US House of Representatives,2024,8,Mike Haridopolos,https://en.wikipedia.org/wiki/Mike_Haridopolos,62.2,Sandy Kennedy,"",37.8,Mike Haridopolos,http://mike4congress.com,https://sandykennedyforcongress.com/,"","","","","","",https://www.facebook.com/profile.php?id=61557985804420,https://x.com/SandyKennedyFL,https://www.instagram.com/sdkennedy7711/,"",https://www.facebook.com/sandra.d.kennedy.77,https://www.linkedin.com/in/sandradkennedyfllawyer/
Florida,US House of Representatives,2024,9,Thomas Chalifoux,"",42.6,Darren Soto,https://en.wikipedia.org/wiki/Darren_Soto,55.1,Darren Soto,https://thomaschalifoux.com,http://darrensoto.com,https://www.facebook.com/ThomasChalifouxForCongress,https://x.com/TeamChalifoux,"","",https://www.facebook.com/profile.php?id=100008564732392,https://www.linkedin.com/in/thomas-chalifoux-jr-97243610/,"","","","","",""
Florida,US House of Representatives,2024,10,Willie J. Montague,"",37.6,Maxwell Alejandro Frost,https://en.wikipedia.org/wiki/Maxwell_Alejandro_Frost,62.4,Maxwell Alejandro Frost,https://tuanleforflorida.com,http://frostforcongress.com,https://www.facebook.com/tuanleforflorida,"","","",https://www.facebook.com/tuanleflorida,https://www.linkedin.com/in/tuan-le-5a67156/,"","","","","",""
Florida,US House of Representatives,2024,11,Daniel Webster,https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),60.4,Barbie Harden Hall,"",39.6,Daniel Webster,http://electwebster.com,https://barbieforcongress.com,"","","","","","",https://www.facebook.com/profile.php?id=61554414707808,https://x.com/Barbie4Congress,https://www.instagram.com/barbie4congress/,"",https://www.facebook.com/barbie.harden,https://www.linkedin.com/in/barbie-harden-hall-6a9604310/
Florida,US House of Representatives,2024,12,Gus Bilirakis,https://en.wikipedia.org/wiki/Gus_Bilirakis,71.0,Rock Aboujaoude Jr.,"",29.0,Gus Bilirakis,http://bilirakisforcongress.com,https://rockforus.com/,"","","","","","",https://www.facebook.com/RockforCongress3,https://x.com/rockforflorida,https://www.instagram.com/rockforcongress/,"",https://www.facebook.com/rock.aboujaoude,https://www.linkedin.com/in/rock-aboujaoude-jr-a49b3899/
Florida,US House of Representatives,2024,13,Anna Paulina Luna,https://en.wikipedia.org/wiki/Anna_Paulina_Luna,54.8,Whitney Fox,"",45.2,Anna Paulina Luna,http://voteannapaulina.com,https://www.whitneyfoxforcongress.com,"","","","","","",https://www.facebook.com/whitneyfoxforcongress,https://x.com/whitfox,https://www.instagram.com/whitneyfoxforcongress/,"",https://www.facebook.com/WFox00,https://www.linkedin.com/in/whitneyfox/
Florida,US House of Representatives,2024,14,Robert Rochford,"",41.6,Kathy Castor,https://en.wikipedia.org/wiki/Kathy_Castor,56.9,Kathy Castor,https://rocky4congress.com,http://castorforcongress.com,https://www.facebook.com/rockyforcongress,https://x.com/rocky4congress,"","","",https://www.linkedin.com/in/rarochford/,"","","","","",""
Florida,US House of Representatives,2024,15,Laurel Lee,https://en.wikipedia.org/wiki/Laurel_Lee,56.2,Pat Kemp,"",43.8,Laurel Lee,http://votelaurel.com,https://dos.elections.myflorida.com/candidates/CanDetail.asp?account=85386,"","","","","","","","","","","",""
Florida,US House of Representatives,2024,16,Vern Buchanan,https://en.wikipedia.org/wiki/Vern_Buchanan,59.5,Jan Schneider,"",40.5,Vern Buchanan,http://vernbuchanan.com,https://votejan.com/,"","","","","","","","","","","",""
Florida,US House of Representatives,2024,17,Greg Steube,https://en.wikipedia.org/wiki/Greg_Steube,63.9,Manny Lopez,"",36.1,Greg Steube,http://electgregsteube.com,https://mannyforcongress.com,"","","","","","",https://www.facebook.com/mannyforcongress/,https://x.com/MannyDistrict17,https://www.instagram.com/mannyforcongress/,"",https://www.facebook.com/profile.php?id=100008354407039,https://www.linkedin.com/in/manny-lopez-b8966378/
Florida,US House of Representatives,2024,18,Scott Franklin,https://en.wikipedia.org/wiki/Scott_Franklin_(politician),65.3,Andrea Doria Kale,"",34.7,Scott Franklin,http://votescottfranklin.com,https://www.andreadoriakale.com/,"","","","","","","","","","","",https://www.linkedin.com/in/andrea-doria-kale/
Florida,US House of Representatives,2024,19,Byron Donalds,https://en.wikipedia.org/wiki/Byron_Donalds,66.3,Kari Lerner,"",33.7,Byron Donalds,http://byrondonalds.com,https://bluevoterguide.org/FL/candidate_Kari_Lerner/519662,"","","","","","","","","","","",""
Florida,US House of Representatives,2024,21,Brian Mast,https://en.wikipedia.org/wiki/Brian_Mast,61.8,Thomas Witkop,"",38.2,Brian Mast,http://mastforcongress.com,https://witkopforcongress.com,"","","","","","",https://www.facebook.com/profile.php?id=61556359951932,https://x.com/thomas_witkop,https://www.instagram.com/witkopforcongress,"",https://www.facebook.com/tommy.witkop,https://www.linkedin.com/in/thomas-witkop-1195a3159/
Florida,US House of Representatives,2024,22,Dan Franzese,"",45.0,Lois Frankel,https://en.wikipedia.org/wiki/Lois_Frankel,55.0,Lois Frankel,https://campaignsdaily.com/organizations/dan-franzese-for-congress,http://loisfrankelforcongress.com,"","","","","",https://www.linkedin.com/in/daniel-franzese-71318310/,"","","","","",""
Florida,US House of Representatives,2024,23,Joe Kaufman,"",47.6,Jared Moskowitz,https://en.wikipedia.org/wiki/Jared_Moskowitz,52.4,Jared Moskowitz,https://kaufmanforcongress.com,http://jaredforflorida.com,https://www.facebook.com/ElectJoeKaufman,https://x.com/JoeKaufmanUSA,"","",https://www.facebook.com/JoeKaufmanUSA,https://www.linkedin.com/in/joe-kaufman-a9b392177/,"","","","","",""
Florida,US House of Representatives,2024,24,Jesus Navarro,"",31.8,Frederica Wilson,https://en.wikipedia.org/wiki/Frederica_Wilson,68.2,Frederica Wilson,https://www.jesusgnavarro.com/,http://fredericawilsonforcongress.com,"",https://x.com/realjgnavarro,https://www.instagram.com/realjgnavarro/,"","",https://www.linkedin.com/in/jesus-gabriel-navarro-5339133a/,"","","","","",""
Florida,US House of Representatives,2024,25,Chris Eddy,"",45.5,Debbie Wasserman Schultz,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,54.5,Debbie Wasserman Schultz,https://www.Eddy4Congress.com,http://debbiewassermanschultz.com,https://www.facebook.com/Eddy4Congress/,https://x.com/Eddy4Congress,https://www.instagram.com/eddy4congress/,"",https://www.facebook.com/chris.eddy.79219,https://www.linkedin.com/in/chris-eddy/,"","","","","",""
